"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"393";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";
"393FET";"IRF520";"IRF520";"TO220BV";"HEXFET Power MOSFET";"";"";"";"";"";"";
"ARDUINO";"328P";"ATMEGA328P_PDIP";"DIP28";"Atmel 328P";"";"";"";"";"IC-09136";"328P";
"C1";"100uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C2";"100uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"22pF";"C2.5/5";"C2.5-5";"CAPACITOR";"";"";"";"";"";"";
"C4";"22pF";"C2.5/5";"C2.5-5";"CAPACITOR";"";"";"";"";"";"";
"C5";"100nF";"C2.5/5";"C2.5-5";"CAPACITOR";"";"";"";"";"";"";
"IC1";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IC2";"74LS47N";"74LS47N";"DIL16";"BCD to seven segment DECODER/DRIVER";"";"";"";"";"";"";
"J1";"";"DCJ0303";"DCJ0303";"DC POWER JACK";"";"";"unknown";"unknown";"";"";
"LED1";"7-SEG_SA56-11";"7-SEG_SA56-11";"SA56-11";"Kingbright 14.2mm (0.56 INCH) SINGLE DIGIT NUMERIC DUISPLAY";"";"";"unknown";"unknown";"";"";
"POWER";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"";"";
"Q1";"16 MHz";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";
"R1";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2";"10k";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R5";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R6";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R7";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R8";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"R9";"220";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"";"";"";"";"";"";
"RPI";"";"PINHD-2X20";"2X20";"PIN HEADER";"";"";"";"";"";"";
"SERVO";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";
